Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price
Panvel,1162.44,1,,29,21.0,17.7,No,YES,12267836
nerul,612.27,2BHK,3.0,22,,8.6,,No,10061421
Ulwe,1156.01,2BHK,4.0,10,31.0,11.1,no,YES,19437223
Nerul,1529.12,,1.0,27,6.0,13.6,no,Yes,22707709
Kharghar,737.8,2,1.0,1,9.0,4.5,Yes,YES,11197294
Airoli,352.38,2,3.0,14,21.0,6.7,no,YES,4796231
Vashi,663.88,,4.0,10,30.0,12.1,No,,10891137
Vashi,1647.83,2BHK,4.0,1,32.0,13.2,,,26226102
 panvel,1359.35,2BHK,3.0,28,,6.9,yes,Yes,21715721
Panvel,816.61,4,3.0,23,18.0,0.5,No,Yes,10060544
Panvel,818.94,1,4.0,Ground,7.0,5.6,Yes,,13337744
,3063.48,2BHK,,3,39.0,7.2,Yes,Yes,33653869 INR
 panvel,762.21,2BHK,4.0,14,29.0,11.3,,YES,8107192 INR
Panvel,1333.78,2BHK,3.0,30,19.0,15.7,,,21738441 INR
Vashi,641.32,2BHK,3.0,15,15.0,15.7,No,YES,9664318
Nerul,645.3,,1.0,1,35.0,6.2,Yes,NO,8299385
Panvel,810.68,2BHK,2.0,19,19.0,5.0,,NO,10507553
Vashi,1366.08,4,1.0,12,4.0,0.4,No,No,29685373
Nerul,1205.46,1,1.0,30,28.0,14.3,Yes,,19075942
Panvel,1078.64,2,3.0,28,33.0,18.5,no,Yes,20918982
Kharghar,929.55,3,3.0,10,13.0,8.1,yes,NO,11329443
Ulwe,735.68,1,1.0,,31.0,2.2,yes,Yes,11501374
 panvel,830.13,1,3.0,27,18.0,7.7,,,14040839
CBD Belapur,597.43,2,,22,37.0,16.4,No,No,5844590
 panvel,969.13,,2.0,23,37.0,4.6,no,Yes,₹12064197
Kharghar,657.65,,1.0,20,26.0,7.1,yes,NO,5653173
Nerul,1483.78,2,4.0,Ground,24.0,13.9,Yes,NO,₹28637297
KHARGHAR ,1572.75,4,3.0,27,30.0,6.8,no,NO,21771663
Ghansoli,466.31,1,4.0,21,35.0,5.0,No,No,5885720
KHARGHAR ,1167.08,2,1.0,31,6.0,1.8,Yes,Yes,22026566
Kharghar,603.25,2BHK,4.0,32,31.0,7.8,,Yes,10103906
Ghansoli,136.13,3,2.0,15,3.0,5.8,yes,YES,2045320
Belapur,827.31,1,4.0,27,12.0,1.1,No,NO,12761166
CBD Belapur,-226.16,3,4.0,0,8.0,11.9,No,NO,-2288086
CBD Belapur,958.94,3,4.0,9,1.0,18.2,No,YES,11022956
Nerul,1335.63,4,1.0,17,9.0,15.1,No,No,25464115
Kharghar,1415.14,1,,23,23.0,4.5,No,YES,14481297
Ghansoli,835.2,2BHK,,20,8.0,14.9,no,Yes,13073889
Nerul,951.58,4,4.0,6,9.0,4.5,No,Yes,16839597
Nerul,876.28,,4.0,20,14.0,6.8,yes,,11120664
 panvel,1208.45,1,3.0,21,1.0,6.1,No,No,₹17061776
nerul,46.23,2,3.0,23,22.0,4.6,,Yes,622890
Ghansoli,2578.15,2BHK,1.0,31,38.0,6.1,No,,34755149
Ulwe,914.58,,4.0,23,24.0,5.3,Yes,NO,10880452
KHARGHAR ,1118.69,,1.0,3,7.0,7.6,yes,NO,19889967 INR
 panvel,80.46,,2.0,3,18.0,4.2,No,No,1364226
Ghansoli,416.75,2,1.0,3,2.0,1.3,No,,4566619
nerul,106.64,,2.0,21,32.0,9.9,Yes,YES,1532626
nerul,1044.08,2,3.0,1,31.0,1.1,Yes,YES,14538375
Kharghar,1411.74,4,4.0,5,31.0,5.1,yes,NO,29330108
KHARGHAR ,956.01,,3.0,15,33.0,8.1,yes,Yes,14707249
Kharghar,-438.57,4,2.0,7,20.0,10.5,yes,Yes,-6280979
Belapur,623.04,1,3.0,21,28.0,9.9,Yes,No,8220114
Airoli,1299.26,2BHK,2.0,34,12.0,3.2,,Yes,15581264
CBD Belapur,205.41,1,4.0,3,5.0,5.1,yes,,1903347
Ulwe,880.21,1,,33,31.0,14.0,,Yes,11744538
Ulwe,1130.49,2BHK,4.0,28,31.0,7.6,yes,Yes,18842641
nerul,491.78,2BHK,,14,30.0,0.2,No,YES,6549131
Kharghar,561.95,2BHK,3.0,Ground,23.0,5.6,yes,NO,7852669
Ulwe,1221.75,2,,22,36.0,1.1,yes,YES,20942925
Nerul,5139.81,4,2.0,31,30.0,14.3,no,YES,79876522
,234.77,2,4.0,Ground,13.0,13.6,yes,YES,5167488
CBD Belapur,1018.6,1,4.0,Ground,26.0,10.3,No,NO,11442230
Airoli,747.61,2,4.0,11,12.0,1.8,,No,8387799
Airoli,456.06,2BHK,1.0,1,25.0,13.7,Yes,YES,6749169
Vashi,80.95,2,2.0,4,5.0,7.6,yes,NO,1891448
,1228.37,1,,12,16.0,4.9,,Yes,15953910
nerul,1235.9,4,4.0,,29.0,6.6,yes,NO,24062279
Airoli,496.29,2,1.0,20,15.0,7.1,Yes,,6764967
Belapur,918.37,4,2.0,7,37.0,4.5,no,Yes,18029087
nerul,373.44,3,1.0,17,30.0,5.4,Yes,No,₹4760986
Belapur,1144.47,4,1.0,16,18.0,3.7,Yes,,18804209
Vashi,1254.36,2BHK,3.0,8,11.0,6.8,,YES,₹18235515
KHARGHAR ,1068.82,3,2.0,7,10.0,0.4,no,Yes,18935139
Panvel,954.75,3,3.0,17,4.0,10.3,Yes,NO,19542973
Panvel,985.83,1,4.0,13,22.0,6.8,no,YES,17196086
 panvel,849.14,4,3.0,33,3.0,20.1,Yes,Yes,16310230 INR
,1497.7,3,4.0,6,28.0,1.2,yes,YES,16768561
,521.92,3,2.0,29,21.0,18.3,Yes,No,8499538
,1580.98,,4.0,26,10.0,7.4,yes,NO,23369813
KHARGHAR ,571.0,,3.0,15,37.0,4.2,,No,6565961
Ulwe,73.24,1,3.0,12,,7.0,yes,Yes,-102674
 panvel,721.9,4,4.0,15,15.0,14.9,No,,15755618
Airoli,610.27,1,4.0,26,33.0,6.3,No,,10223297
Ulwe,1057.61,3,1.0,18,2.0,4.9,No,NO,12936623
Belapur,1298.77,2BHK,4.0,15,18.0,16.6,no,Yes,19289901
KHARGHAR ,-346.51,4,4.0,6,28.0,1.9,yes,NO,-5387925
CBD Belapur,1080.65,1,4.0,14,1.0,18.4,No,No,17718323
Nerul,1050.73,2,1.0,Ground,1.0,2.5,no,No,11173787
Airoli,858.25,2BHK,1.0,2,2.0,8.9,No,NO,9153206
Airoli,1105.84,4,1.0,18,36.0,5.3,no,No,19490416
nerul,791.12,,4.0,30,21.0,1.4,no,NO,11553071
Belapur,995.31,2,1.0,18,14.0,0.6,,Yes,12864165
Kharghar,839.87,2,4.0,22,34.0,12.5,,YES,9925029
 panvel,599.02,2BHK,4.0,9,9.0,16.5,No,,9179316
Ghansoli,937.09,,2.0,30,2.0,2.2,Yes,No,15863615
Panvel,1186.58,2BHK,4.0,8,15.0,12.1,No,YES,12413820
CBD Belapur,1142.83,3,1.0,19,33.0,10.2,yes,NO,16152783
Ghansoli,989.84,2,,2,39.0,2.0,No,NO,14372028
CBD Belapur,-99.93,1,,11,31.0,23.3,No,NO,-1479454
Panvel,1275.55,3,4.0,12,8.0,2.4,No,Yes,24318230
KHARGHAR ,1222.11,,2.0,16,21.0,14.9,Yes,Yes,13628765
Kharghar,1218.96,2BHK,3.0,31,5.0,9.0,no,,₹20152203
nerul,1125.8,2BHK,2.0,11,5.0,12.7,,NO,17815698
Belapur,65.43,2,4.0,12,5.0,15.2,No,Yes,1573423
KHARGHAR ,61.08,2,,32,6.0,5.5,,,656536
Panvel,680.26,,2.0,2,18.0,3.5,Yes,NO,7122690
KHARGHAR ,563.39,1,3.0,19,21.0,10.5,No,No,5543974
CBD Belapur,1501.39,3,4.0,20,35.0,4.0,No,No,17043855 INR
Nerul,1319.4,2BHK,1.0,10,1.0,1.7,No,YES,19509671
nerul,1034.1,,4.0,24,36.0,18.2,No,Yes,13976848
KHARGHAR ,904.18,4,3.0,27,4.0,8.5,yes,Yes,12214185
Ulwe,1137.42,2,3.0,,22.0,18.7,No,Yes,17098417
CBD Belapur,1536.08,3,,27,32.0,2.7,no,YES,23008440
Ulwe,1474.47,3,4.0,18,,6.7,Yes,Yes,28810006
Panvel,1079.67,2,2.0,Ground,17.0,19.8,no,No,16361939
Ghansoli,611.94,2BHK,4.0,17,6.0,11.3,No,No,7235780
 panvel,517.58,,2.0,33,14.0,14.3,,YES,9528750
KHARGHAR ,1961.97,2BHK,2.0,6,19.0,2.0,yes,YES,33785562
Nerul,997.61,3,3.0,6,2.0,1.2,yes,NO,9957891
Ulwe,544.23,2BHK,,1,19.0,12.7,Yes,No,7284666
Belapur,1280.42,4,4.0,21,4.0,5.4,yes,YES,23029451
Ulwe,901.39,2BHK,,11,6.0,16.8,no,NO,12812813
 panvel,417.72,,3.0,4,18.0,5.1,,YES,6557472
Ulwe,990.12,2,,22,37.0,6.7,Yes,No,14252839
 panvel,371.76,1,,15,11.0,2.9,yes,,₹6564565
CBD Belapur,1751.07,1,3.0,32,7.0,9.7,no,No,31713299
Airoli,1304.95,2,1.0,28,37.0,14.1,no,No,17208452
KHARGHAR ,812.06,3,3.0,17,14.0,22.0,yes,,12604376
Vashi,1227.24,,3.0,Ground,34.0,9.1,yes,Yes,₹17048658
Belapur,1238.98,3,4.0,12,2.0,5.8,No,NO,15218424
Ulwe,789.65,1,3.0,33,17.0,11.7,Yes,YES,10759396 INR
Airoli,665.12,2BHK,4.0,28,2.0,10.5,no,,10991143
Vashi,1526.69,2,,33,15.0,12.7,yes,No,₹23862398
CBD Belapur,592.87,4,3.0,0,4.0,17.2,yes,No,11915151
Nerul,881.4,1,4.0,13,4.0,2.1,,NO,13389877
,673.45,4,3.0,3,18.0,12.1,no,No,8829352
Vashi,524.48,,3.0,14,31.0,3.3,no,YES,4937345
nerul,1075.79,4,2.0,11,31.0,19.0,No,,18709764
CBD Belapur,966.55,4,,0,39.0,11.3,no,No,19625520
Ghansoli,2003.69,1,,19,37.0,3.2,yes,,26098760
Airoli,677.65,2,1.0,12,9.0,2.1,,Yes,10618093
,791.55,,3.0,16,29.0,5.3,yes,No,12390542
,854.76,4,1.0,28,38.0,8.3,Yes,Yes,16541494
nerul,658.39,1,,1,33.0,5.4,no,,11582975
CBD Belapur,1294.79,4,4.0,Ground,35.0,0.1,no,,23490038
Nerul,949.17,1,2.0,14,34.0,10.5,Yes,NO,12210058
Kharghar,3144.35,1,2.0,12,5.0,7.6,no,YES,42535708
Airoli,1042.5,1,1.0,4,25.0,7.5,,Yes,19149360
Airoli,1321.79,2BHK,3.0,21,33.0,2.6,,,13557678
nerul,1221.14,,1.0,5,20.0,17.9,No,NO,13997202
Airoli,380.35,2,4.0,30,34.0,5.3,Yes,No,5545276
,987.26,2BHK,4.0,14,38.0,9.1,no,YES,16060536
Kharghar,47.5,3,3.0,Ground,6.0,0.9,No,Yes,691464
Kharghar,1644.39,3,4.0,9,5.0,9.2,No,NO,17892895
 panvel,1358.61,3,4.0,8,12.0,13.5,,,17189818
,1031.53,3,,2,12.0,5.2,no,,11698106
CBD Belapur,842.59,4,1.0,4,17.0,2.7,No,YES,13251676 INR
Airoli,492.4,1,4.0,5,26.0,3.8,yes,,4668834
Kharghar,136.3,1,4.0,31,28.0,0.5,,No,1325620
CBD Belapur,885.15,3,3.0,30,10.0,8.9,No,Yes,16568628
Vashi,910.87,4,1.0,17,27.0,1.4,Yes,Yes,15589490
Nerul,1059.05,2,4.0,2,8.0,10.1,no,Yes,15722910
Kharghar,999.07,2BHK,,19,36.0,17.7,yes,,10653590
Ulwe,1023.72,2BHK,4.0,14,37.0,5.5,yes,NO,13628330
Ghansoli,737.14,,2.0,20,15.0,5.7,no,,10749764
 panvel,1939.58,3,,33,28.0,2.1,Yes,No,21541180
CBD Belapur,909.94,,4.0,11,,6.8,no,YES,10510181
Vashi,433.78,2,3.0,22,27.0,7.1,Yes,NO,5718100
Ulwe,1018.9,4,1.0,26,34.0,12.0,,No,19814938
Ulwe,1520.79,2,4.0,3,26.0,4.8,no,Yes,22249957
 panvel,1156.78,1,3.0,29,3.0,6.7,,No,11982991
Vashi,1239.89,1,4.0,6,34.0,6.6,Yes,NO,18525337
Airoli,788.77,,1.0,10,24.0,9.6,yes,YES,8673851
Kharghar,1547.98,3,3.0,19,19.0,2.4,no,Yes,27558327
KHARGHAR ,659.07,2,,11,14.0,12.4,Yes,Yes,11677007
Panvel,1495.03,2BHK,1.0,4,14.0,17.8,,Yes,19016423
Airoli,1435.24,1,3.0,16,12.0,8.9,Yes,NO,20254178
CBD Belapur,1371.57,3,1.0,31,24.0,2.2,yes,NO,23376303
nerul,1415.35,2BHK,4.0,7,14.0,14.4,no,YES,19310601
CBD Belapur,913.91,2,4.0,28,,12.7,Yes,Yes,₹10072242
Nerul,1220.2,2BHK,4.0,31,2.0,10.8,no,NO,17060100
Airoli,675.76,2BHK,1.0,,26.0,9.9,yes,NO,8929995
Panvel,214.49,2,4.0,13,10.0,3.1,Yes,YES,2795448 INR
Ghansoli,1347.78,1,2.0,9,16.0,11.9,No,,14856466
CBD Belapur,684.73,1,2.0,5,26.0,9.2,No,NO,9146369 INR
CBD Belapur,1411.56,2,3.0,,26.0,3.2,Yes,YES,₹27006386
Ghansoli,4811.5,2BHK,,10,11.0,6.0,Yes,Yes,74606309
Nerul,1118.77,,1.0,19,35.0,8.8,no,NO,₹16007429
Ghansoli,6650.29,4,1.0,Ground,16.0,6.8,,,118705554
CBD Belapur,1209.3,2BHK,,28,34.0,8.8,Yes,NO,13941983
Vashi,826.61,1,4.0,29,27.0,22.6,No,YES,9944469
,507.48,3,3.0,18,30.0,5.3,Yes,NO,9446719
KHARGHAR ,71.01,2,4.0,20,1.0,1.4,,NO,1489576
Panvel,21.22,1,,6,38.0,11.3,yes,YES,1154864
nerul,756.93,1,1.0,29,11.0,3.7,No,No,7959044
CBD Belapur,1332.52,3,4.0,17,32.0,21.9,No,YES,26785304
,579.31,4,3.0,8,2.0,15.7,no,YES,7321763
Nerul,888.4,1,2.0,6,29.0,7.0,No,No,13321843
CBD Belapur,339.75,2BHK,,34,29.0,7.9,yes,,6075417
Airoli,1130.84,,3.0,4,5.0,0.1,,YES,11002355
Vashi,1163.99,3,2.0,27,9.0,4.4,Yes,No,17234699
Kharghar,1152.39,2,3.0,0,32.0,3.6,yes,YES,13831493
,469.36,2BHK,3.0,15,10.0,10.7,Yes,,7321089
CBD Belapur,904.08,3,4.0,10,12.0,11.4,no,YES,₹13724075
nerul,463.01,2BHK,4.0,30,22.0,7.9,No,YES,4439361
Belapur,697.9,1,3.0,3,30.0,13.2,no,No,7186503
Panvel,882.06,2BHK,1.0,2,25.0,17.8,No,Yes,11485246 INR
KHARGHAR ,821.96,2BHK,,2,33.0,6.4,Yes,No,10091693
Airoli,557.56,2,,30,6.0,3.0,yes,Yes,9605672
Nerul,1597.52,2BHK,3.0,13,,10.5,,Yes,24454046
nerul,902.93,2,,32,4.0,5.3,,,16626784
CBD Belapur,1231.06,2BHK,3.0,25,11.0,9.4,Yes,NO,17988966
Kharghar,212.83,4,3.0,15,1.0,9.5,No,,4926042
Airoli,886.54,,4.0,13,,9.3,no,Yes,₹9794316
Ghansoli,1394.65,2BHK,2.0,30,13.0,10.1,no,,15640736
Ghansoli,1406.88,3,3.0,27,30.0,14.9,no,No,₹25855731
Kharghar,1060.62,3,4.0,29,17.0,12.8,No,YES,17732782
 panvel,904.18,4,,2,,15.4,Yes,No,13761664
,1246.14,,2.0,5,19.0,5.3,,,15922710
CBD Belapur,1466.82,3,4.0,30,10.0,3.5,no,,23772722
,1334.6,4,3.0,34,27.0,14.9,yes,NO,18987219
Kharghar,1161.58,,3.0,26,,4.2,,NO,12931977
Airoli,829.67,3,4.0,8,25.0,1.8,No,,11876738
Panvel,813.64,4,,21,28.0,10.6,no,NO,12146034
Belapur,622.72,1,3.0,18,30.0,8.0,,,6787214
Panvel,689.99,4,1.0,17,27.0,4.0,No,No,8202277
Airoli,1128.79,,3.0,18,28.0,4.2,No,No,10390487
 panvel,1009.4,2BHK,4.0,3,4.0,10.8,No,No,16490476
nerul,1065.46,1,,31,30.0,8.4,No,YES,14492397
Kharghar,891.57,,,10,37.0,4.4,,No,10414047
CBD Belapur,1462.13,3,2.0,19,33.0,5.3,No,Yes,15531735
nerul,318.15,4,1.0,21,23.0,16.3,,No,₹4262086
Airoli,176.53,,,33,32.0,0.8,No,,3160714
Panvel,852.37,2BHK,,33,35.0,7.8,,Yes,13616361
KHARGHAR ,324.01,1,1.0,4,30.0,10.2,yes,NO,5984094
Ulwe,733.55,1,1.0,34,19.0,14.4,Yes,,9741909
Ghansoli,618.6,3,4.0,17,10.0,7.4,No,Yes,11188052 INR
,596.34,4,1.0,7,37.0,7.5,no,YES,13151410
Airoli,5868.67,4,,13,24.0,1.0,No,Yes,77340082
CBD Belapur,1055.39,,1.0,2,25.0,10.2,yes,No,9913088
,946.75,3,4.0,21,4.0,8.9,,,18482771
nerul,676.55,1,1.0,21,18.0,6.4,,YES,6928168
KHARGHAR ,739.94,2,1.0,9,30.0,15.5,yes,YES,12299939
nerul,141.85,4,3.0,20,32.0,17.5,,YES,2976383
 panvel,515.7,1,3.0,33,8.0,8.2,,,7729992
Nerul,601.52,3,4.0,14,3.0,8.4,Yes,YES,₹9509579
Ulwe,1273.65,3,3.0,10,6.0,2.9,,No,15234580
nerul,666.98,2,4.0,10,7.0,4.8,no,YES,12722023
Ghansoli,935.59,4,2.0,28,2.0,12.6,No,NO,15017296
Belapur,786.77,1,,32,25.0,4.2,no,,10370945
CBD Belapur,948.68,1,1.0,27,7.0,22.2,yes,No,16155204
nerul,802.62,3,4.0,10,17.0,8.1,Yes,YES,14687022
CBD Belapur,1302.46,1,4.0,2,18.0,8.0,yes,,13494541
Airoli,554.88,1,3.0,14,7.0,11.2,No,NO,8673681
Ulwe,1313.2,,4.0,33,1.0,11.0,No,Yes,15468139
 panvel,748.09,,1.0,9,2.0,13.0,no,YES,₹7410383
,732.56,3,3.0,8,16.0,20.0,,,13859603
Ulwe,999.39,3,,31,19.0,7.3,,YES,17161216
Ulwe,396.66,3,3.0,Ground,9.0,13.4,No,Yes,4854542
Belapur,1223.89,1,3.0,13,28.0,9.7,no,No,16395814
nerul,1523.37,,2.0,31,13.0,11.2,No,No,25712121
KHARGHAR ,1213.11,1,2.0,34,19.0,7.6,yes,,18758844
CBD Belapur,1785.38,2,,30,30.0,1.5,yes,Yes,26295893
,107.74,3,2.0,27,16.0,1.3,,Yes,2546218
Kharghar,267.78,2BHK,,20,18.0,11.8,Yes,Yes,4851331
KHARGHAR ,1131.92,2,2.0,28,35.0,12.6,yes,NO,19861999
Panvel,133.01,2BHK,3.0,24,31.0,18.3,no,Yes,₹2265296
Belapur,1706.88,3,3.0,,6.0,2.7,Yes,No,30267304
Ghansoli,982.08,4,,34,39.0,2.6,No,NO,15978201
CBD Belapur,1121.05,2,2.0,31,7.0,1.4,no,NO,14622100
Kharghar,1239.74,1,2.0,1,32.0,8.4,No,YES,15508275
 panvel,1565.68,3,2.0,13,36.0,2.4,No,,21530473
CBD Belapur,542.43,1,2.0,25,4.0,1.6,No,No,5970442
Ulwe,1398.6,,3.0,15,39.0,4.0,Yes,No,22083378
Kharghar,1091.42,2,4.0,26,1.0,6.5,No,NO,21012884
Airoli,1275.01,3,2.0,3,16.0,16.1,,Yes,24385418
Belapur,1285.4,2BHK,4.0,3,6.0,8.5,yes,NO,15922388
Vashi,981.79,4,4.0,27,7.0,17.1,no,NO,11945994
Ulwe,850.25,2,4.0,31,33.0,1.0,No,No,12918171
Airoli,456.76,2BHK,3.0,32,11.0,16.3,no,No,4641283 INR
Airoli,2896.6,2BHK,,26,18.0,3.5,Yes,NO,40682113
nerul,474.59,3,1.0,12,19.0,19.9,yes,Yes,6209777
 panvel,1662.33,4,1.0,28,39.0,1.8,no,,28301371
Ulwe,1532.17,,2.0,33,39.0,4.5,No,YES,21894864
Belapur,430.17,2BHK,2.0,24,25.0,13.0,no,YES,4524964
Ghansoli,1152.35,1,1.0,21,16.0,8.7,no,,19132602
Nerul,950.79,2,,2,5.0,17.2,no,No,₹12778040
 panvel,766.09,4,4.0,17,23.0,11.3,no,,9178727
Vashi,269.33,2BHK,,4,19.0,13.8,yes,,2642638 INR
CBD Belapur,1488.06,2,2.0,33,32.0,10.2,No,NO,28219031
Ghansoli,916.04,2,3.0,19,21.0,9.4,,,11544409
Nerul,1042.58,1,,3,19.0,11.9,no,NO,11639011
Panvel,1085.5,3,,23,2.0,7.2,no,Yes,11927883
Belapur,501.1,2,3.0,0,17.0,8.3,No,No,8578472
,1425.57,1,3.0,9,35.0,12.2,Yes,No,24483974
 panvel,1473.95,2BHK,4.0,24,35.0,7.6,No,YES,20808199
KHARGHAR ,1553.78,1,,8,1.0,6.6,,Yes,18016033 INR
Panvel,468.88,4,2.0,12,1.0,12.0,,Yes,9426434
Panvel,727.03,,3.0,5,5.0,5.5,yes,Yes,12200980 INR
CBD Belapur,881.25,1,4.0,33,6.0,1.4,Yes,YES,12277905
Nerul,1396.92,,1.0,0,27.0,9.6,No,No,22220818
 panvel,995.41,2BHK,1.0,33,13.0,12.0,Yes,No,12128579
Belapur,1151.72,1,1.0,21,2.0,9.7,no,Yes,12803351
Belapur,1416.89,2,,0,1.0,17.5,,NO,25496496
Vashi,39.76,3,1.0,25,8.0,9.8,No,,1096287
 panvel,986.53,2,1.0,8,35.0,5.7,yes,NO,17507086
Airoli,966.76,2,4.0,10,37.0,23.8,,Yes,18054406
Belapur,1152.97,1,,26,19.0,2.5,Yes,No,15746253
Belapur,421.55,1,3.0,31,20.0,9.5,no,NO,4943154
KHARGHAR ,563.5,2,3.0,7,1.0,6.9,yes,Yes,11336830
Airoli,421.91,4,1.0,33,30.0,19.0,Yes,No,8769851
Airoli,962.06,4,1.0,,9.0,5.3,No,Yes,₹15250808
Ulwe,717.69,,1.0,16,3.0,6.5,Yes,Yes,8816724
 panvel,1025.29,2BHK,4.0,2,5.0,10.3,yes,YES,₹10126197
,1260.06,1,1.0,21,21.0,11.3,no,No,13727229
Ulwe,202.03,1,,15,,17.1,no,,3135872
KHARGHAR ,963.09,3,3.0,13,,6.4,,NO,15514905
Belapur,1147.33,,4.0,18,35.0,9.1,Yes,Yes,18194227
Ulwe,1272.66,3,3.0,33,21.0,6.6,Yes,Yes,16234345
Ulwe,557.19,2,4.0,15,1.0,3.9,no,No,6297712
Panvel,913.08,4,,6,20.0,17.3,yes,No,18407848
KHARGHAR ,209.26,4,3.0,2,,12.7,Yes,No,2834997
Kharghar,1326.28,2BHK,1.0,18,27.0,11.0,,No,12753190
Ghansoli,-115.73,2,,28,23.0,12.0,no,No,-2400667
KHARGHAR ,1201.26,2BHK,3.0,4,34.0,15.6,,,15291133
Airoli,911.35,4,1.0,33,21.0,5.5,no,YES,16967074
CBD Belapur,1162.8,3,4.0,13,26.0,10.2,No,Yes,18424530
CBD Belapur,588.52,,1.0,30,11.0,9.9,,No,9475502
KHARGHAR ,144.2,2,4.0,15,26.0,2.2,No,YES,3321427
KHARGHAR ,1099.94,4,,23,29.0,3.6,No,,20204476
Ghansoli,62.66,2,1.0,1,7.0,16.2,No,Yes,488127
Ulwe,1723.34,1,2.0,12,5.0,9.5,No,No,29679481
Kharghar,888.03,1,2.0,6,32.0,12.2,No,Yes,₹15995864
Airoli,977.33,4,3.0,22,11.0,8.8,yes,YES,16277750
Vashi,448.48,3,,7,5.0,8.0,,Yes,5322856
 panvel,1540.62,1,3.0,34,39.0,16.3,Yes,Yes,25432898
CBD Belapur,1009.51,,3.0,22,8.0,7.0,No,NO,₹12809243
Belapur,697.6,1,2.0,17,23.0,12.7,yes,,8256724
 panvel,601.78,,1.0,30,14.0,3.9,No,No,8361475
Belapur,938.26,3,1.0,12,30.0,10.4,No,NO,16702700
Ghansoli,218.13,2BHK,4.0,29,2.0,11.7,Yes,,₹2542487
Nerul,1628.58,3,1.0,28,30.0,9.3,,YES,29678682
Nerul,390.57,2BHK,2.0,27,36.0,11.4,,,3643883
Kharghar,1178.8,,,6,3.0,3.8,No,No,15921238
CBD Belapur,1254.67,,2.0,19,26.0,13.0,No,No,₹14811780
Airoli,1190.99,4,4.0,15,18.0,3.7,no,YES,16854941
Airoli,553.48,2BHK,,4,22.0,13.5,No,,6728996
Kharghar,496.24,4,2.0,3,7.0,15.4,yes,NO,8122461
Airoli,896.09,3,,Ground,11.0,8.2,Yes,,12357201
Vashi,1122.52,,,11,9.0,11.2,Yes,Yes,11644936 INR
Kharghar,1275.28,2BHK,2.0,28,16.0,6.3,,Yes,12146733
KHARGHAR ,-137.59,4,1.0,34,26.0,8.4,no,Yes,-2571737
Nerul,1514.81,4,2.0,7,17.0,4.2,No,No,18707981
Belapur,342.04,2BHK,2.0,32,20.0,13.6,Yes,NO,3274937
Nerul,297.81,2,3.0,11,11.0,15.2,,YES,5559678
Ghansoli,841.03,1,1.0,20,15.0,3.7,Yes,No,13357427
Airoli,695.26,2,1.0,17,18.0,12.4,Yes,Yes,11983386
Ghansoli,340.73,2,2.0,29,6.0,4.8,no,Yes,6969216
Ghansoli,1117.07,2BHK,4.0,2,7.0,13.1,Yes,,18687689
Airoli,1038.22,2BHK,4.0,15,28.0,15.3,No,No,12520231
Airoli,993.36,,4.0,28,23.0,8.9,,YES,12544699
nerul,72.25,1,4.0,12,6.0,17.6,,NO,1449768
Nerul,121.42,3,2.0,17,16.0,7.1,,No,1271449 INR
 panvel,1640.28,,3.0,1,15.0,8.7,Yes,Yes,₹22982912
Vashi,252.89,2,1.0,15,20.0,10.5,yes,NO,2388234
Panvel,711.83,2,1.0,33,10.0,8.2,,NO,9985903
nerul,665.48,1,,19,39.0,8.7,no,NO,6244432
,1309.84,2,2.0,30,18.0,9.8,,,22184537
KHARGHAR ,4446.57,1,,18,35.0,11.2,no,No,46868808
CBD Belapur,619.8,,4.0,17,33.0,6.1,,NO,6682768
Vashi,1364.33,3,4.0,9,16.0,6.4,No,YES,19282952
Belapur,1239.84,2BHK,,4,,10.7,yes,No,13284533
Ulwe,850.25,2,4.0,31,33.0,1.0,No,No,12918171
Kharghar,1811.27,3,4.0,21,33.0,3.4,yes,Yes,29645160
CBD Belapur,1216.38,,1.0,12,30.0,7.2,,NO,16621706
,825.51,3,3.0,,2.0,8.9,yes,NO,13574433 INR
nerul,1261.93,1,3.0,23,17.0,5.7,No,NO,21606730
KHARGHAR ,527.56,2,3.0,28,34.0,3.3,yes,Yes,8880572
Belapur,1139.04,3,4.0,15,26.0,9.5,yes,NO,19359925
Ghansoli,648.4,3,4.0,24,37.0,3.9,yes,NO,10602075
CBD Belapur,506.47,,3.0,13,26.0,9.2,,,7700050
nerul,965.97,4,2.0,18,4.0,6.6,yes,,18778582 INR
nerul,693.54,3,,5,22.0,10.5,No,NO,13863590
Vashi,807.95,2BHK,2.0,17,6.0,10.5,No,NO,₹13629802
Ghansoli,1662.65,2,1.0,32,23.0,2.7,Yes,Yes,22250467
Ghansoli,947.79,2,,20,14.0,6.6,no,NO,15794303
,221.7,4,1.0,20,33.0,3.8,no,NO,4791162
KHARGHAR ,3953.43,1,2.0,5,10.0,8.7,yes,Yes,44311418
Panvel,1369.01,4,,5,2.0,9.1,no,No,26791014
Nerul,3.01,2,2.0,24,37.0,10.1,Yes,YES,-888353
Airoli,833.17,2BHK,2.0,22,20.0,5.6,No,YES,11495720
Vashi,905.79,,1.0,11,33.0,15.3,no,,16363165
Kharghar,1068.63,1,3.0,1,26.0,10.8,,No,19541055
CBD Belapur,1243.95,3,3.0,10,17.0,12.0,Yes,YES,₹15159271
